collective,num_nodes,num_gpus,size_bytes,count,data_type,redop,time_oop_us,algbw_oop,busbw_oop,errors_oop,time_ip_us,algbw_ip,busbw_ip,errors_ip,algo,proto,nchannels,requested_algo,requested_proto,requested_nchannels,substituted,measured_algo_raw,nchannels_source
broadcast_perf,3,24,4096,1024,float,none,35.76,0.11,0.11,0,32.16,0.13,0.13,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,8192,2048,float,none,31.46,0.26,0.26,0,31.53,0.26,0.26,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,16384,4096,float,none,31.64,0.52,0.52,0,31.24,0.52,0.52,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,32768,8192,float,none,34.0,0.96,0.96,0,34.32,0.95,0.95,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,65536,16384,float,none,37.94,1.73,1.73,0,38.52,1.7,1.7,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,131072,32768,float,none,50.34,2.6,2.6,0,49.72,2.64,2.64,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,262144,65536,float,none,68.65,3.82,3.82,0,68.16,3.85,3.85,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,524288,131072,float,none,85.1,6.16,6.16,0,86.89,6.03,6.03,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,1048576,262144,float,none,138.25,7.58,7.58,0,143.53,7.31,7.31,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,2097152,524288,float,none,203.71,10.29,10.29,0,206.06,10.18,10.18,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,4194304,1048576,float,none,372.72,11.25,11.25,0,376.51,11.14,11.14,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,8388608,2097152,float,none,633.2,13.25,13.25,0,630.01,13.32,13.32,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,16777216,4194304,float,none,1264.37,13.27,13.27,0,1263.64,13.28,13.28,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,33554432,8388608,float,none,2437.33,13.77,13.77,0,2454.32,13.67,13.67,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,67108864,16777216,float,none,4910.99,13.67,13.67,0,4926.68,13.62,13.62,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,134217728,33554432,float,none,9917.04,13.53,13.53,0,9910.01,13.54,13.54,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,268435456,67108864,float,none,19845.8,13.53,13.53,0,19814.7,13.55,13.55,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,536870912,134217728,float,none,39787.0,13.49,13.49,0,39685.8,13.53,13.53,0,RING,SIMPLE,1,RING,SIMPLE,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,4096,1024,float,none,31.5,0.13,0.13,0,28.85,0.14,0.14,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,8192,2048,float,none,28.98,0.28,0.28,0,28.84,0.28,0.28,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,16384,4096,float,none,33.26,0.49,0.49,0,31.28,0.52,0.52,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,32768,8192,float,none,37.84,0.87,0.87,0,36.93,0.89,0.89,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,65536,16384,float,none,48.98,1.34,1.34,0,50.52,1.3,1.3,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,131072,32768,float,none,75.05,1.75,1.75,0,74.96,1.75,1.75,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,262144,65536,float,none,132.38,1.98,1.98,0,133.27,1.97,1.97,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,524288,131072,float,none,253.26,2.07,2.07,0,256.21,2.05,2.05,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,1048576,262144,float,none,493.98,2.12,2.12,0,489.07,2.14,2.14,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,2097152,524288,float,none,966.22,2.17,2.17,0,957.75,2.19,2.19,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,4194304,1048576,float,none,1925.04,2.18,2.18,0,1923.65,2.18,2.18,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
broadcast_perf,3,24,8388608,2097152,float,none,3884.9,2.16,2.16,0,3895.9,2.15,2.15,0,RING,LL,1,RING,LL,1,0,RING,A_flag_ceiling
